"date","cases_lag","deaths_new"
2020-06-18,6,0
2020-06-19,4,0
2020-06-20,6,0
2020-06-21,10,0
2020-06-22,18,0
2020-06-23,3,0
2020-06-24,2,0
2020-06-25,1,0
2020-06-26,3,0
2020-06-27,5,0
2020-06-28,10,0
2020-06-29,5,0
2020-06-30,5,0
2020-07-01,6,0
2020-07-02,3,0
2020-07-03,6,0
2020-07-04,13,0
2020-07-05,8,0
2020-07-06,14,0
2020-07-07,7,0
2020-07-08,4,0
2020-07-09,5,0
2020-07-10,3,1
2020-07-11,18,0
2020-07-12,9,0
2020-07-13,15,0
2020-07-14,21,0
2020-07-15,15,0
2020-07-16,16,0
2020-07-17,9,1
2020-07-18,21,0
2020-07-19,23,0
2020-07-20,13,0
2020-07-21,7,0
2020-07-22,39,0
2020-07-23,13,0
2020-07-24,8,0
2020-07-25,12,0
2020-07-26,9,1
2020-07-27,14,0
2020-07-28,2,0
2020-07-29,1,1
2020-07-30,21,0
2020-07-31,15,0
2020-08-01,25,0
2020-08-02,7,0
2020-08-03,13,0
2020-08-04,11,0
2020-08-05,9,0
2020-08-06,11,0
2020-08-07,15,0
2020-08-08,20,0
2020-08-09,26,0
2020-08-10,25,0
2020-08-11,12,0
2020-08-12,7,0
2020-08-13,16,0
2020-08-14,5,0
2020-08-15,9,0
2020-08-16,8,0
2020-08-17,10,0
2020-08-18,7,0
2020-08-19,11,0
2020-08-20,6,0
2020-08-21,5,0
2020-08-22,10,0
2020-08-23,11,0
2020-08-24,17,0
2020-08-25,6,0
2020-08-26,14,0
2020-08-27,6,0
2020-08-28,14,0
2020-08-29,11,1
2020-08-30,6,1
2020-08-31,6,0
2020-09-01,62,1
2020-09-02,100,0
2020-09-03,24,0
2020-09-04,45,0
2020-09-05,182,0
2020-09-06,58,0
2020-09-07,47,0
2020-09-08,31,0
2020-09-09,23,0
2020-09-10,62,0
2020-09-11,21,0
2020-09-12,95,0
2020-09-13,20,0
2020-09-14,52,1
2020-09-15,57,0
2020-09-16,82,0
2020-09-17,147,0
2020-09-18,72,1
2020-09-19,110,1
2020-09-20,82,0
2020-09-21,150,0
2020-09-22,115,1
2020-09-23,101,1
2020-09-24,89,0
2020-09-25,260,0
2020-09-26,287,1
2020-09-27,317,1
2020-09-28,293,1
2020-09-29,432,0
2020-09-30,691,0
2020-10-01,489,0
2020-10-02,375,2
2020-10-03,354,1
2020-10-04,374,2
2020-10-05,561,3
2020-10-06,563,1
2020-10-07,660,3
2020-10-08,660,5
2020-10-09,589,4
2020-10-10,629,3
2020-10-11,869,3
2020-10-12,871,3
2020-10-13,865,4
2020-10-14,862,4
2020-10-15,732,2
2020-10-16,847,6
2020-10-17,710,6
2020-10-18,1228,2
2020-10-19,823,7
2020-10-20,1240,4
2020-10-21,835,7
2020-10-22,801,11
2020-10-23,649,9
2020-10-24,799,3
2020-10-25,659,6
2020-10-26,957,2
2020-10-27,834,2
2020-10-28,1054,10
2020-10-29,1032,4
2020-10-30,1009,3
2020-10-31,1755,5
2020-11-01,1168,3
2020-11-02,852,2
2020-11-03,972,2
2020-11-04,869,1
2020-11-05,822,6
2020-11-06,919,2
2020-11-07,1304,3
2020-11-08,1114,4
2020-11-09,1208,8
2020-11-10,1103,6
2020-11-11,1210,2
2020-11-12,660,1
2020-11-13,1290,1
2020-11-14,958,2
2020-11-15,1041,3
2020-11-16,1096,4
2020-11-17,1884,5
2020-11-18,2188,4
2020-11-19,970,4
2020-11-20,935,3
2020-11-21,1109,3
2020-11-22,1315,3
2020-11-23,1309,2
2020-11-24,1212,4
2020-11-25,1472,4
2020-11-26,851,3
2020-11-27,1075,2
2020-11-28,1141,4
2020-11-29,1123,3
2020-11-30,1335,3
2020-12-01,1600,2
2020-12-02,1012,2
2020-12-03,959,11
2020-12-04,2234,0
2020-12-05,1810,4
2020-12-06,1937,3
2020-12-07,1229,2
2020-12-08,1371,4
2020-12-09,1772,5
2020-12-10,1295,3
2020-12-11,1220,6
2020-12-12,1683,9
2020-12-13,1153,4
2020-12-14,1340,4
2020-12-15,2018,3
2020-12-16,2062,7
2020-12-17,1348,3
2020-12-18,1581,0
2020-12-19,1247,1
2020-12-20,2335,4
2020-12-21,1196,1
2020-12-22,1594,1
2020-12-23,1925,5
2020-12-24,1870,2
2020-12-25,2525,3
2020-12-26,2068,2
2020-12-27,2295,1
2020-12-28,1704,3
2020-12-29,1741,2
2020-12-30,2027,6
2020-12-31,2593,8
2021-01-01,3027,3
2021-01-02,2643,9
2021-01-03,2451,11
2021-01-04,2433,7
2021-01-05,2232,11
2021-01-06,3309,1
2021-01-07,2985,8
2021-01-08,3337,16
2021-01-09,3211,5
2021-01-10,4029,9
2021-01-11,3339,4
2021-01-12,3306,4
2021-01-13,3631,4
2021-01-14,4008,15
2021-01-15,3170,8
2021-01-16,3631,8
2021-01-17,4275,7
2021-01-18,3346,4
2021-01-19,3048,14
2021-01-20,3585,11
2021-01-21,3680,12
2021-01-22,4094,18
2021-01-23,5725,7
2021-01-24,5728,11
2021-01-25,5298,11
2021-01-26,4214,11
2021-01-27,3455,7
2021-01-28,4284,10
2021-01-29,4571,16
2021-01-30,3391,13
2021-01-31,3847,14
2021-02-01,3731,10
2021-02-02,3100,21
2021-02-03,2764,18
2021-02-04,3288,17
2021-02-05,3384,19
2021-02-06,3318,12
2021-02-07,3499,15
2021-02-08,2464,24
2021-02-09,2176,13
2021-02-10,2720,14
2021-02-11,2998,1
2021-02-12,2712,18
2021-02-13,2936,6
2021-02-14,2461,8
2021-02-15,3297,11
2021-02-16,2192,9
2021-02-17,2468,23
2021-02-18,3545,1
2021-02-19,1924,39
2021-02-20,2253,9
2021-02-21,2364,6
2021-02-22,2437,7
2021-02-23,1828,20
2021-02-24,1555,12
2021-02-25,1745,13
2021-02-26,2063,10
2021-02-27,2154,10
2021-02-28,1680,9
2021-03-01,1683,5
2021-03-02,1529,6
2021-03-03,1280,7
2021-03-04,1448,5
2021-03-05,1647,6
2021-03-06,1575,7
2021-03-07,1470,3
2021-03-08,1354,8
2021-03-09,1208,9
2021-03-10,1063,5
2021-03-11,1219,9
2021-03-12,1213,3
2021-03-13,1576,3
2021-03-14,1671,4
2021-03-15,1327,3
2021-03-16,1116,5
2021-03-17,1384,2
2021-03-18,1268,3
2021-03-19,1360,2
2021-03-20,1275,4
2021-03-21,1199,4
2021-03-22,1302,5
2021-03-23,941,1
2021-03-24,1133,2
2021-03-25,1482,2
2021-03-26,1178,1
2021-03-27,1294,2
2021-03-28,1638,4
2021-03-29,1349,5
2021-03-30,1070,4
2021-03-31,1300,8
2021-04-01,1139,6
2021-04-02,1285,5
2021-04-03,1854,3
2021-04-04,1510,2
2021-04-05,1739,7
2021-04-06,1317,5
2021-04-07,1767,4
2021-04-08,1889,4
2021-04-09,2148,5
2021-04-10,2551,8
2021-04-11,2331,8
2021-04-12,2195,4
2021-04-13,2078,12
2021-04-14,2341,8
2021-04-15,2340,10
2021-04-16,2875,2
2021-04-17,2847,5
2021-04-18,2717,8
2021-04-19,2690,8
2021-04-20,2776,3
2021-04-21,2733,11
2021-04-22,3142,7
2021-04-23,3332,8
2021-04-24,3788,11
2021-04-25,2881,10
2021-04-26,3418,13
2021-04-27,2500,13
2021-04-28,3120,15
2021-04-29,3744,15
2021-04-30,3551,14
2021-05-01,4498,15
2021-05-02,4519,12
2021-05-03,3733,18
2021-05-04,3807,23
2021-05-05,3973,17
2021-05-06,4765,19
2021-05-07,4855,22
2021-05-08,4113,25
2021-05-09,4140,26
2021-05-10,3780,17
2021-05-11,4446,22
2021-05-12,4865,39
2021-05-13,6075,27
2021-05-14,6806,34
2021-05-15,6493,44
2021-05-16,6320,36
2021-05-17,6976,45
2021-05-18,6509,47
2021-05-19,7289,46
2021-05-20,7478,59
2021-05-21,7857,50
2021-05-22,8290,50
2021-05-23,9020,49
2021-05-24,6999,61
2021-05-25,6824,60
2021-05-26,7105,63
2021-05-27,7703,59
2021-05-28,8209,61
2021-05-29,7748,98
2021-05-30,7452,79
2021-05-31,6241,67
2021-06-01,5271,71
2021-06-02,5566,126
2021-06-03,6239,103
2021-06-04,5671,86
2021-06-05,6849,109
2021-06-06,5793,87
2021-06-07,5304,82
2021-06-08,4949,76
2021-06-09,5419,75
2021-06-10,5150,73
2021-06-11,5738,84
2021-06-12,6440,76
2021-06-13,5911,64
2021-06-14,5293,60
2021-06-15,4611,101
2021-06-16,4743,73
2021-06-17,5244,60
2021-06-18,5841,74
2021-06-19,5812,72
2021-06-20,5803,60
2021-06-21,5586,69
2021-06-22,5218,77
2021-06-23,6437,83
2021-06-24,6276,84
2021-06-25,6988,82
2021-06-26,6982,81
2021-06-27,6658,60
2021-06-28,6045,57
2021-06-29,6387,107
2021-06-30,7654,62
2021-07-01,7097,84
2021-07-02,8868,73
2021-07-03,9180,107
2021-07-04,9353,63
2021-07-05,9105,77
2021-07-06,8574,103
2021-07-07,11079,91
2021-07-08,11618,135
2021-07-09,13215,77
2021-07-10,12541,87
2021-07-11,12528,90
2021-07-12,10710,103
2021-07-13,10972,125
2021-07-14,12366,118
2021-07-15,11985,110
2021-07-16,13034,115
2021-07-17,15573,138
2021-07-18,15902,153
2021-07-19,17045,129
2021-07-20,14516,93
2021-07-21,16117,199
2021-07-22,17405,134
2021-07-23,17170,144
2021-07-24,16840,184
2021-07-25,17786,92
2021-07-26,17150,207
2021-07-27,15764,207
2021-07-28,17105,143
2021-07-29,19819,174
2021-07-30,20596,134
2021-07-31,20889,165
2021-08-01,19257,160
2021-08-02,18688,219
2021-08-03,17236,195
2021-08-04,19991,257
2021-08-05,20780,164
2021-08-06,21668,160
2021-08-07,21468,210
2021-08-08,20670,360
2021-08-09,20546,212
2021-08-10,19740,201
2021-08-11,19631,211
2021-08-12,22242,318
2021-08-13,22948,277
2021-08-14,23564,260
2021-08-15,22262,282
2021-08-16,19807,274
2021-08-17,17672,293
2021-08-18,20837,225
2021-08-19,22642,178
2021-08-20,24599,233
2021-08-21,22070,223
2021-08-22,22597,232
2021-08-23,20579,174
2021-08-24,19268,211
2021-08-25,20897,265
2021-08-26,18762,393
2021-08-27,20988,339
2021-08-28,19378,252
2021-08-29,19057,285
2021-08-30,20396,294
2021-08-31,17352,282
2021-09-01,18547,278
2021-09-02,19733,249
2021-09-03,19307,330
2021-09-04,21176,362
2021-09-05,19550,336
2021-09-06,19198,272
2021-09-07,16073,311
2021-09-08,15669,361
2021-09-09,19495,322
2021-09-10,18815,341
2021-09-11,17577,592
2021-09-12,15549,292
2021-09-13,14954,413
2021-09-14,14345,463
2021-09-15,15759,422
2021-09-16,14990,346
2021-09-17,13754,387
2021-09-18,14554,324
2021-09-19,13899,376
2021-09-20,13104,301
2021-09-21,10959,334
2021-09-22,11332,487
2021-09-23,12434,116
2021-09-24,12735,250
2021-09-25,11889,228
2021-09-26,10915,278
2021-09-27,9066,258
2021-09-28,8075,240
2021-09-29,8817,208
2021-09-30,9380,192
2021-10-01,9890,121
2021-10-02,9751,109
2021-10-03,8743,118
2021-10-04,7373,76
2021-10-05,6709,117
2021-10-06,7276,105
2021-10-07,7950,132
2021-10-08,8084,78
2021-10-09,7420,74
2021-10-10,7509,64
2021-10-11,6145,93
2021-10-12,5434,103
2021-10-13,5745,68
2021-10-14,5516,88
2021-10-15,6210,89
2021-10-16,6630,88
2021-10-17,5828,63
2021-10-18,5666,72
2021-10-19,4782,69
2021-10-20,5726,76
2021-10-21,6148,96
2021-10-22,6377,78
2021-10-23,6060,42
2021-10-24,5854,46
2021-10-25,4979,92
2021-10-26,4626,84
2021-10-27,5071,98
2021-10-28,5291,95
2021-10-29,5713,63
2021-10-30,4922,44
2021-10-31,4701,36
2021-11-01,4343,63
2021-11-02,4543,70
2021-11-03,5403,46
2021-11-04,6243,64
2021-11-05,6323,47
2021-11-06,6517,54
2021-11-07,5809,35
2021-11-08,5162,58
2021-11-09,5143,78
2021-11-10,5413,59
2021-11-11,6288,49
2021-11-12,6380,41
2021-11-13,6355,55
2021-11-14,5859,45
2021-11-15,4854,53
2021-11-16,4885,40
2021-11-17,5594,68
2021-11-18,5755,55
2021-11-19,6144,45
2021-11-20,5501,41
2021-11-21,5097,24
2021-11-22,4239,63
2021-11-23,4087,47
2021-11-24,4879,37
2021-11-25,5439,48
2021-11-26,5806,45
2021-11-27,5551,40
2021-11-28,4896,29
2021-11-29,4298,61
2021-11-30,4262,55
2021-12-01,4965,49
2021-12-02,5020,47
2021-12-03,5446,17
2021-12-04,5058,36
2021-12-05,4626,40
2021-12-06,3490,38
2021-12-07,3504,66
2021-12-08,4097,28
2021-12-09,3900,41
2021-12-10,4262,44
2021-12-11,4362,31
2021-12-12,4083,17
2021-12-13,3108,29
2021-12-14,2589,48
2021-12-15,3140,33
2021-12-16,3519,37
2021-12-17,3510,18
2021-12-18,3528,29
2021-12-19,3160,19
2021-12-20,2778,43
2021-12-21,2757,57
2021-12-22,2897,30
2021-12-23,3683,44
2021-12-24,3997,25
2021-12-25,3573,25
2021-12-26,3386,19
2021-12-27,2882,35
2021-12-28,2690,23
2021-12-29,2842,36
2021-12-30,3270,34
2021-12-31,3543,25
2022-01-01,3381,26
2022-01-02,3251,19
2022-01-03,2888,28
2022-01-04,2641,31
2022-01-05,3175,18
2022-01-06,3198,19
2022-01-07,3684,16
2022-01-08,3346,11
2022-01-09,3074,23
2022-01-10,3010,18
2022-01-11,2342,27
2022-01-12,3245,15
2022-01-13,3229,12
2022-01-14,3764,12
2022-01-15,4046,19
2022-01-16,4116,12
2022-01-17,3856,16
2022-01-18,3214,9
2022-01-19,4066,13
2022-01-20,4744,22
2022-01-21,5439,16
2022-01-22,5522,14
2022-01-23,5139,9
2022-01-24,4915,10
2022-01-25,4774,16
2022-01-26,5566,12
2022-01-27,5736,10
2022-01-28,5720,12
2022-01-29,7234,5
2022-01-30,9117,8
2022-01-31,10089,13
2022-02-01,11034,7
2022-02-02,13944,7
2022-02-03,17134,8
2022-02-04,19090,11
2022-02-05,20939,14
2022-02-06,22802,9
2022-02-07,21072,9
2022-02-08,21315,13
2022-02-09,22133,9
2022-02-10,27831,10
2022-02-11,26701,24
2022-02-12,27808,15
2022-02-13,28825,11
2022-02-14,26832,24
2022-02-15,25099,31
2022-02-16,27179,21
2022-02-17,31199,39
2022-02-18,32070,36
2022-02-19,30644,34
2022-02-20,27299,37
2022-02-21,24466,43
2022-02-22,23100,43
2022-02-23,25854,55
2022-02-24,27500,46
2022-02-25,32467,57
2022-02-26,33209,43
2022-02-27,33406,39
2022-02-28,27435,75
2022-03-01,26856,78
2022-03-02,31490,115
2022-03-03,30246,86
2022-03-04,30787,78
2022-03-05,32800,67
2022-03-06,26250,55
2022-03-07,22535,77
2022-03-08,22030,79
2022-03-09,26534,113
2022-03-10,28298,70
2022-03-11,27004,76
2022-03-12,24241,77
2022-03-13,22341,87
2022-03-14,19105,92
2022-03-15,17828,95
2022-03-16,21483,105
2022-03-17,22491,86
2022-03-18,24316,59
2022-03-19,21839,85
2022-03-20,20923,71
2022-03-21,16863,63
2022-03-22,13336,73
2022-03-23,15215,65
2022-03-24,15941,64
2022-03-25,18560,52
2022-03-26,17476,34
2022-03-27,14692,38
2022-03-28,12380,54
2022-03-29,10002,64
2022-03-30,12017,33
2022-03-31,12105,44
2022-04-01,11994,30
2022-04-02,14944,56
2022-04-03,10177,30
2022-04-04,8112,28
2022-04-05,7739,33
2022-04-06,9002,32
2022-04-07,10052,36
2022-04-08,10413,31
2022-04-09,9673,21
2022-04-10,9705,12
2022-04-11,6623,19
2022-04-12,7140,30
2022-04-13,6069,22
2022-04-14,6968,18
2022-04-15,5899,16
2022-04-16,6342,12
2022-04-17,5624,12
2022-04-18,4006,16
2022-04-19,2478,12
2022-04-20,3361,16
2022-04-21,3471,5
2022-04-22,2935,12
2022-04-23,2579,9
2022-04-24,2107,8
2022-04-25,1503,8
2022-04-26,1352,13
2022-04-27,922,6
2022-04-28,1054,10
2022-04-29,1278,6
2022-04-30,1251,5
2022-05-01,1372,3
2022-05-02,2153,5
2022-05-03,2246,9
2022-05-04,2605,3
2022-05-05,3321,2
2022-05-06,3410,7
2022-05-07,3029,3
2022-05-08,2373,4
2022-05-09,2239,1
2022-05-10,1697,6
2022-05-11,1469,8
2022-05-12,2017,4
2022-05-13,2124,5
2022-05-14,2063,5
2022-05-15,2021,3
2022-05-16,1817,5
2022-05-17,1544,3
2022-05-18,1918,7
2022-05-19,2430,3
2022-05-20,1845,5
2022-05-21,1877,3
2022-05-22,1645,2
2022-05-23,1155,2
2022-05-24,1325,2
2022-05-25,1451,6
2022-05-26,1809,3
2022-05-27,1877,2
2022-05-28,1844,2
2022-05-29,1591,5
2022-05-30,1358,4
2022-05-31,1330,7
2022-06-01,1128,2
2022-06-02,1518,2
2022-06-03,1887,1
2022-06-04,2166,5
2022-06-05,1709,2
2022-06-06,1571,2
2022-06-07,2092,9
2022-06-08,1922,6
2022-06-09,2320,3
2022-06-10,2033,1
2022-06-11,2130,2
2022-06-12,2127,1
2022-06-13,1690,4
2022-06-14,2093,4
2022-06-15,1921,5
2022-06-16,2425,5
2022-06-17,2796,1
2022-06-18,2512,1
2022-06-19,2302,0
2022-06-20,2003,3
2022-06-21,1894,2
2022-06-22,2025,4
2022-06-23,2605,1
2022-06-24,2867,3
2022-06-25,2773,0
2022-06-26,2527,1
2022-06-27,2536,8
2022-06-28,1918,4
2022-06-29,2932,5
2022-06-30,3561,2
2022-07-01,4020,6
2022-07-02,3589,0
2022-07-03,2799,5
2022-07-04,3264,8
2022-07-05,2417,3
2022-07-06,2345,5
2022-07-07,3934,3
2022-07-08,4098,6
2022-07-09,5230,8
2022-07-10,5047,2
2022-07-11,3936,5
2022-07-12,3080,3
2022-07-13,3902,9
2022-07-14,5685,8
2022-07-15,4587,8
2022-07-16,3880,4
2022-07-17,4816,7
2022-07-18,2720,7
2022-07-19,3300,8
2022-07-20,4759,8
2022-07-21,4503,10
2022-07-22,3926,14
2022-07-23,4860,9
2022-07-24,4271,3
2022-07-25,2783,9
2022-07-26,3213,9
2022-07-27,4204,10
2022-07-28,5330,4
2022-07-29,4413,10
2022-07-30,3927,4
2022-07-31,4684,9
2022-08-01,2728,8
2022-08-02,2863,8
2022-08-03,3083,10
2022-08-04,4896,8
2022-08-05,4831,6
2022-08-06,3943,11
2022-08-07,4334,6
2022-08-08,3045,6
2022-08-09,2437,12
2022-08-10,3429,12
2022-08-11,3516,10
2022-08-12,4071,4
2022-08-13,3490,10
2022-08-14,2798,5
2022-08-15,2464,8
2022-08-16,2078,9
2022-08-17,2722,15
2022-08-18,2636,7
2022-08-19,3206,6
2022-08-20,3118,6
2022-08-21,2491,9
2022-08-22,2191,10
2022-08-23,1946,11
2022-08-24,2144,11
2022-08-25,2340,8
2022-08-26,2356,6
2022-08-27,2328,5
2022-08-28,2244,2
2022-08-29,1904,8
2022-08-30,1486,4
2022-08-31,2067,6
2022-09-01,2428,9
2022-09-02,2226,9
2022-09-03,1990,9
2022-09-04,1971,2
2022-09-05,1483,4
2022-09-06,1847,6
2022-09-07,1942,7
2022-09-08,2431,8
2022-09-09,2375,4
2022-09-10,1977,3
2022-09-11,1572,3
2022-09-12,1639,5
2022-09-13,1307,6
2022-09-14,1667,5
2022-09-15,2111,3
2022-09-16,2245,6
2022-09-17,2070,3
2022-09-18,1924,4
2022-09-19,1608,5
2022-09-20,1186,7
2022-09-21,1552,6
2022-09-22,2445,12
2022-09-23,1867,3
2022-09-24,2007,3
2022-09-25,1626,2
2022-09-26,1360,7
2022-09-27,1244,6
2022-09-28,1483,2
2022-09-29,1722,4
2022-09-30,1794,5
2022-10-01,1788,0
2022-10-02,1627,1
2022-10-03,1453,5
2022-10-04,1241,5
2022-10-05,1291,2
2022-10-06,1628,4
2022-10-07,2090,3
2022-10-08,2231,4
2022-10-09,2023,2
2022-10-10,1712,3
2022-10-11,1210,3
2022-10-12,1873,1
2022-10-13,2295,3
2022-10-14,2561,5
2022-10-15,2256,0
2022-10-16,2618,2
2022-10-17,2054,6
2022-10-18,1737,3
2022-10-19,1743,3
2022-10-20,2136,8
2022-10-21,2762,3
2022-10-22,3296,4
2022-10-23,3189,0
2022-10-24,3129,3
2022-10-25,2913,5
2022-10-26,2913,6
2022-10-27,3969,4
2022-10-28,4711,1
2022-10-29,4360,1
2022-10-30,4621,2
2022-10-31,3913,9
2022-11-01,2521,3
2022-11-02,3781,2
2022-11-03,3267,11
2022-11-04,3436,1
2022-11-05,3245,1
2022-11-06,2882,5
2022-11-07,2234,8
2022-11-08,1749,9
2022-11-09,2852,10
2022-11-10,3304,8
2022-11-11,3457,4
2022-11-12,3037,9
2022-11-13,2450,2
2022-11-14,1633,6
2022-11-15,2121,12
2022-11-16,2516,8
2022-11-17,3537,9
2022-11-18,2877,5
2022-11-19,3024,5
2022-11-20,2898,2
2022-11-21,2022,14
2022-11-22,2465,11
2022-11-23,1672,8
2022-11-24,1737,8
2022-11-25,2375,8
2022-11-26,2421,4
2022-11-27,1866,4
2022-11-28,1502,5
2022-11-29,1576,10
2022-11-30,1649,17
2022-12-01,1682,11
2022-12-02,1616,9
2022-12-03,1597,6
2022-12-04,1315,3
2022-12-05,867,3
2022-12-06,809,16
2022-12-07,1040,6
2022-12-08,1241,4
2022-12-09,1161,6
2022-12-10,1138,5
2022-12-11,993,10
2022-12-12,847,6
2022-12-13,721,9
2022-12-14,816,6
2022-12-15,984,3
2022-12-16,858,8
2022-12-17,902,5
2022-12-18,766,6
2022-12-19,609,2
2022-12-20,480,6
2022-12-21,423,7
2022-12-22,480,3
2022-12-23,679,6
2022-12-24,583,1
2022-12-25,513,0
2022-12-26,420,4
2022-12-27,360,6
2022-12-28,333,4
2022-12-29,433,6
2022-12-30,571,1
2022-12-31,543,1
2023-01-01,571,4
2023-01-02,405,1
2023-01-03,383,1
2023-01-04,380,0
2023-01-05,367,7
2023-01-06,383,4
2023-01-07,320,4
2023-01-08,287,1
2023-01-09,244,8
2023-01-10,227,9
2023-01-11,350,9
2023-01-12,371,4
2023-01-13,318,3
2023-01-14,285,0
2023-01-15,293,0
2023-01-16,309,6
2023-01-17,142,5
2023-01-18,101,4
2023-01-19,132,0
2023-01-20,172,7
2023-01-21,236,2
2023-01-22,258,0
2023-01-23,269,0
2023-01-24,202,0
2023-01-25,251,1
2023-01-26,325,3
2023-01-27,324,2
2023-01-28,340,2
2023-01-29,202,0
2023-01-30,211,2
2023-01-31,175,0
2023-02-01,184,0
2023-02-02,189,0
2023-02-03,269,0
2023-02-04,255,1
2023-02-05,259,0
2023-02-06,160,1
2023-02-07,164,2
2023-02-08,200,0
2023-02-09,237,0
2023-02-10,281,4
2023-02-11,241,1
2023-02-12,212,0
2023-02-13,186,1
2023-02-14,167,1
2023-02-15,184,1
2023-02-16,229,0
2023-02-17,224,0
2023-02-18,204,1
2023-02-19,173,1
2023-02-20,207,1
2023-02-21,190,0
2023-02-22,206,0
2023-02-23,217,0
2023-02-24,244,0
2023-02-25,204,0
2023-02-26,170,0
2023-02-27,164,0
2023-02-28,188,1
2023-03-01,226,2
2023-03-02,235,5
2023-03-03,279,0
2023-03-04,251,0
2023-03-05,223,1
2023-03-06,227,0
2023-03-07,217,0
2023-03-08,269,1
2023-03-09,273,0
2023-03-10,311,0
2023-03-11,281,0
2023-03-12,270,1
2023-03-13,257,0
2023-03-14,197,2
2023-03-15,320,1
2023-03-16,367,1
2023-03-17,346,0
2023-03-18,386,0
2023-03-19,355,0
2023-03-20,327,2
2023-03-21,226,0
2023-03-22,357,1
2023-03-23,461,0
2023-03-24,493,3
2023-03-25,606,1
2023-03-26,599,0
2023-03-27,430,2
2023-03-28,458,1
2023-03-29,611,1
2023-03-30,747,0
2023-03-31,805,0
2023-04-01,797,1
2023-04-02,726,0
2023-04-03,517,2
2023-04-04,539,3
2023-04-05,598,1
2023-04-06,900,5
2023-04-07,875,1
2023-04-08,839,0
2023-04-09,881,0
2023-04-10,739,1
2023-04-11,490,1
2023-04-12,790,0
2023-04-13,784,0
2023-04-14,750,1
2023-04-15,702,1
2023-04-16,562,0
2023-04-17,449,3
2023-04-18,387,4
2023-04-19,561,2
2023-04-20,617,0
2023-04-21,832,1
2023-04-22,1067,1
2023-04-23,1050,0
2023-04-24,968,0
2023-04-25,793,3
2023-04-26,793,3
2023-04-27,1353,4
2023-04-28,1409,2
2023-04-29,1170,0
2023-04-30,1110,1
2023-05-01,977,2
2023-05-02,1046,4
2023-05-03,1261,5
2023-05-04,1433,1
2023-05-05,1329,3
2023-05-06,1322,2
2023-05-07,1205,0
2023-05-08,740,2
2023-05-09,740,4
2023-05-10,1064,4
2023-05-11,1019,5
2023-05-12,1119,2
2023-05-13,971,5
2023-05-14,786,1
2023-05-15,749,4
2023-05-16,653,8
2023-05-17,947,3
2023-05-18,1001,2
2023-05-19,843,3
2023-05-20,826,3
2023-05-21,782,5
2023-05-22,582,1
2023-05-23,513,2
2023-05-24,779,2
2023-05-25,745,2
2023-05-26,666,4
2023-05-27,669,1
2023-05-28,569,0
2023-05-29,460,4
2023-05-30,344,4
2023-05-31,427,3
2023-06-01,660,2
2023-06-02,681,2
2023-06-03,624,0
2023-06-04,618,3
2023-06-05,512,0
2023-06-06,352,1
2023-06-07,573,2
2023-06-08,536,1
2023-06-09,466,2
2023-06-10,594,1
2023-06-11,400,3
2023-06-12,366,2
2023-06-13,284,0
2023-06-14,416,1
2023-06-15,449,1
2023-06-16,417,3
2023-06-17,425,0
2023-06-18,341,0
2023-06-19,278,2
2023-06-20,160,3
2023-06-21,282,2
2023-06-22,252,0
2023-06-23,223,3
2023-06-24,182,1
2023-06-25,171,0
2023-06-26,121,0
2023-06-27,180,0
2023-06-28,175,0
